,Mobile_name,Specifics,Rating & Reviews, Discount
0,"I Kall Z7 Ultra Series (Blue, 32 GB)",4 GB RAM | 32 GB ROM,343 Ratings & 35 Reviews,4% off
1,"Tecno Camon 19 (Sea Salt White, 128 GB)",15.9 cm (6.26 inch) Display,195 Ratings & 21 Reviews,3% off
2,"REDMI 10 (Caribbean Green, 64 GB)",13MP Rear Camera | 8MP Front Camera,"1,70,664 Ratings & 10,998 Reviews",40% off
3,"APPLE iPhone 14 (Midnight, 128 GB)",4000 mAh Battery,"4,247 Ratings & 163 Reviews",14% off
4,"APPLE iPhone 11 (White, 64 GB)",1 year manufacturing warranty for mobile and 6 months for box accessories,"1,78,400 Ratings & 10,573 Reviews",13% off
5,"APPLE iPhone 14 (Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"4,247 Ratings & 163 Reviews",14% off
6,"REDMI 10 (Pacific Blue, 64 GB)",17.27 cm (6.8 inch) Full HD+ Display,"1,70,664 Ratings & 10,998 Reviews",40% off
7,I Kall K3312,64MP + 2MP | 16MP Front Camera,"12,298 Ratings & 1,161 Reviews",40% off
8,"REDMI 10 (Midnight Black, 64 GB)",5000 mAh Battery,"1,70,664 Ratings & 10,998 Reviews",40% off
9,"POCO M4 Pro (Cool Blue, 128 GB)",MediaTek Helio G85 Processor,"1,34,237 Ratings & 12,247 Reviews",13% off
10,"APPLE iPhone 11 (Black, 64 GB)","1 Year Warranty for Handset, 6 Months for Accessories","1,78,400 Ratings & 10,573 Reviews",38% off
11,DIZO Star 300,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"9,590 Ratings & 1,140 Reviews",38% off
12,"POCO M4 Pro (Cool Blue, 64 GB)",17.02 cm (6.7 inch) HD+ Display,"1,34,237 Ratings & 12,247 Reviews",20% off
13,"POCO M4 Pro (Yellow, 64 GB)",50MP + 2MP | 5MP Front Camera,"1,34,237 Ratings & 12,247 Reviews",37% off
14,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",6000 mAh Lithium Polymer Battery,"1,11,744 Ratings & 6,424 Reviews",37% off
15,DIZO Star 500,Qualcomm Snapdragon 680 Processor,"12,421 Ratings & 1,467 Reviews",27% off
16,"POCO C31 (Royal Blue, 64 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,87,995 Ratings & 11,329 Reviews",6% off
17,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",128 GB ROM,"1,40,978 Ratings & 11,531 Reviews",37% off
