,Mobile_Brand,Mobile model,mobile with 5g services,ROM,rating,No of ratings ,No of reviews,Battery,Display,Processor,warranty,RAM,Camera,Expandable,discounted_price,Original_price,discount_percent
0,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
1,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
2,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
3,Cellecor,Cellecor A30i ,,,3.4,19 ,2,6000 mAh Lithium Polymer Battery,,,,,,,"1,449","79,900",14
4,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","14,999",40
5,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"8,999","43,900",13
6,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,,,,,"37,999","19,999",40
7,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,459","17,999",38
8,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"11,999","17,999",38
9,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,"A15 Bionic Chip, 6 Core  ",,,,,"10,999","11,999",37
10,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"10,999","14,999",20
11,Cellecor,Cellecor R50 ,,,4.1,52 ,7,,,,,,,,"1,459","23,999",37
12,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"7,499","10,999",27
13,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424", ,,,,, 12MP Front ,,"11,999","11,999",37
14,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,40,978 ","11,531",,,A13 Bionic Chip ,,,,,"14,999","10,999",40
15,Cellecor,Cellecor A5 ,,,4.4,41 ,3,,,,Brand Warranty of 1 Year,,,,"1,348","10,999",27
16,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853", ,,,,32 MB  ,,  Upto 32 GB,"7,999","9,999",28
17,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,6.1 cm (2.4 inch) ,,,,,,"7,499","16,999",11
18,POCO,POCO C31 ,, 32 GB,4.3,"1,25,511 ","7,439",,,,,,0.8MP Rear ,,"6,499","23,999",37
19,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853",2000 mAh Battery,,,,,,,"7,999","14,999",40
20,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
21,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
22,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
23,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,6000 mAh Lithium Polymer Battery,,,,,,,"1,459","79,900",14
24,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
25,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
26,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","19,999",40
27,Cellecor,Cellecor R3+ ,,,3.5,13 ,2,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,049","17,999",38
28,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"11,999","11,999",37
29,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,"A15 Bionic Chip, 6 Core  ",,,,,"10,999","14,999",20
30,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"7,499","17,999",38
31,Cellecor,Cellecor X2 ,,,4.4,"1,11,744 ","6,424",,,,,,,,"1,149","23,999",37
32,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.3,"1,34,634 ","12,280",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"11,999","10,999",27
33,POCO,POCO M4 Pro,, 64 GB,4.3,"1,40,978 ","11,531", ,,,,, 12MP Front ,,"10,999","11,999",37
34,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.1,"59,846 ","5,853",,,A13 Bionic Chip ,,,,,"14,999","10,999",40
35,Cellecor,Cellecor X-1 ,,,4.3,"1,87,995 ","11,329",,,,Brand Warranty of 1 Year,,,,"1,149","10,999",27
36,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.3,"1,25,511 ","7,439", ,,,,32 MB  ,,  Upto 32 GB,"7,999","9,999",28
37,POCO,POCO C31 ,, 64 GB,2.3,6 ,0,,4.57 cm (1.8 inch) ,,,,,,"7,499","14,999",40
38,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
39,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
40,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
41,Cellecor,Cellecor A30i ,,,3.4,19 ,2,6000 mAh Lithium Polymer Battery,,,,,,,"1,449","79,900",14
42,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
43,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
44,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","1,098",4%
45,Cellecor,Cellecor R3+ ,,,3.5,13 ,2,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,049","14,999",40
46,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,, 12MP Front ,,"8,999","19,999",40
47,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280",,,"A15 Bionic Chip, 6 Core  ",,,,,"11,999","11,999",37
48,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"7,499","17,999",38
49,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,,,,,,,,"1,459","17,999",38
50,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"10,999","14,999",20
51,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"10,999","23,999",37
52,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424",,,A13 Bionic Chip ,,,,,"11,999","10,999",27
